""," ","value"
"1","Alabama",4887871
"2","Alaska",737438
"3","Arizona",7171646
"4","Arkansas",3013825
"5","California",39557045
"6","Colorado",5695564
"7","Connecticut",3572665
"8","Delaware",967171
"9","District of Columbia",702455
"10","Florida",21299325
"11","Georgia",10519475
"12","Hawaii",1420491
"13","Idaho",1754208
"14","Illinois",12741080
"15","Indiana",6691878
"16","Iowa",3156145
"17","Kansas",2911505
"18","Kentucky",4468402
"19","Louisiana",4659978
"20","Maine",1338404
"21","Maryland",6042718
"22","Massachusetts",6902149
"23","Michigan",9995915
"24","Minnesota",5611179
"25","Mississippi",2986530
"26","Missouri",6126452
"27","Montana",1062305
"28","Nebraska",1929268
"29","Nevada",3034392
"30","New Hampshire",1356458
"31","New Jersey",8908520
"32","New Mexico",2095428
"33","New York",19542209
"34","North Carolina",10383620
"35","North Dakota",760077
"36","Ohio",11689442
"37","Oklahoma",3943079
"38","Oregon",4190713
"39","Pennsylvania",12807060
"40","Rhode Island",1057315
"41","South Carolina",5084127
"42","South Dakota",882235
"43","Tennessee",6770010
"44","Texas",28701845
"45","Utah",3161105
"46","Vermont",626299
"47","Virginia",8517685
"48","Washington",7535591
"49","West Virginia",1805832
"50","Wisconsin",5813568
"51","Wyoming",577737
